token,surprisal
Great,14.407540321350098
",",3.9686007499694824
 thanks,5.285400390625
 for,1.330585241317749
 the,2.274414300918579
 description,10.131145477294922
",""",3.6681792736053467
 John,9.447005271911621
 said,1.3988149166107178
.,1.0026646852493286
" """,1.151756763458252
I,2.273648738861084
'll,3.9862375259399414
 keep,5.851517200469971
 an,4.487071514129639
 eye,0.015317574143409729
 out,1.5057519674301147
 for,0.5469387769699097
 him,5.753818511962891
".""",1.8536583185195923
"
",0.5136702060699463
"
",0.002378243487328291
"""",2.8871266841888428
Great,6.148163318634033
",",1.5970851182937622
 let,9.012381553649902
 me,2.4049129486083984
 go,4.377259731292725
 grab,8.954584121704102
 him,4.146907329559326
",""",1.8003697395324707
 John,4.919985294342041
 said,0.468764066696167
 with,5.690168857574463
 a,0.5034960508346558
 smile,2.1806116104125977
.,0.39277568459510803
