filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length,model,dataset,model_class
mistral-7b-instruct-v0.1@q8_0_0.csv,25,5.578245296478271,5.125379085540772,0.318913996219635,15.723834991455078,13.098014174760952,31.320768851559254,22.0,23.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_1.csv,8,4.7009217999875546,4.600193500518799,0.3164741694927215,11.275711059570312,8.500293309320266,11.983361352907822,8.0,7.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_10.csv,49,4.3123303556016515,2.494441032409668,0.0481393933296203,14.1858549118042,16.147505284470313,26.49424965120456,43.0,15.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_100.csv,160,4.141665118398668,3.768823266029358,0.0002340873761568,17.4217586517334,9.849532269996033,17.682416284260576,109.0,14.88888888888889,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_101.csv,20,6.1319072365760805,4.440498113632202,0.4884033203125,15.693023681640623,19.272606556478532,56.73451593223825,19.0,9.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_102.csv,104,3.959213374818389,3.0090144872665405,0.0069141639396548,17.414134979248047,11.90177329696106,28.497266457781883,80.0,12.285714285714286,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_103.csv,51,4.641647936484101,4.268612384796143,0.0273241009563207,15.13720989227295,11.425285572907605,28.23961948041243,40.0,15.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_104.csv,51,3.6022561487705245,2.720008850097656,0.0065932073630392,10.826142311096191,7.158679439021272,13.015650513228982,45.0,9.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_105.csv,32,4.319688229355961,3.427928924560547,0.2042006999254226,12.666715621948242,9.54174161061286,20.85565966208029,30.0,9.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_106.csv,40,4.4110303245484825,4.029574275016785,0.080934926867485,14.323722839355469,9.682783984508816,22.72890503102148,37.0,18.5,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
mistral-7b-instruct-v0.1@q8_0_107.csv,5,5.3545461893081665,3.222227096557617,1.0846587419509888,12.81307601928711,19.546420877115416,37.94005845516608,5.0,3.0,mistral-7b-instruct-v0.1@q8_0,daily_dialog,instruct
