token,surprisal
 into,9.117391586303711
 the,1.3321417570114136
 water,6.595386505126953
 and,3.072028398513794
 started,8.097809791564941
 sweeping,10.301488876342773
 it,4.064387321472168
 across,6.697944164276123
 the,0.5019856095314026
 sand,6.946604251861572
.,1.047961711883545
 She,5.593092918395996
 soon,9.804880142211914
 found,2.794452428817749
 something,7.848805904388428
.,6.241336345672607
 She,2.9195640087127686
 picked,6.253887176513672
 it,1.2136541604995728
 up,0.050134915858507156
 with,6.260116100311279
 the,3.753108263015747
 net,11.298255920410156
",",3.875836133956909
 but,5.247996807098389
 the,3.948728561401367
 object,8.066798210144043
 was,2.2218570709228516
 too,2.4875125885009766
 heavy,4.528342247009277
 for,1.6288070678710938
 it,3.832157611846924
",",5.1341142654418945
 so,1.247288703918457
 she,0.1957160234451294
 held,5.3478546142578125
 onto,3.697157621383667
 a,6.759903430938721
 corner,10.788689613342285
 of,1.0173989534378052
 it,1.620253086090088
 with,4.96682596206665
 her,1.1986470222473145
 bare,5.401576995849609
 hands,0.24084630608558655
.,0.7079614996910095
 It,3.2490620613098145
 was,1.9504320621490479
 metal,10.872016906738281
",",1.0975711345672607
 and,1.6725348234176636
 it,2.598586320877075
 had,3.0759329795837402
 once,12.483256340026855
 been,1.0424387454986572
 round,11.994685173034668
",",2.96541166305542
 but,1.1972705125808716
 now,2.094738245010376
 it,0.8405761122703552
 was,0.4356655776500702
 bent,7.199787616729736
.,3.3654944896698
 The,3.017399787902832
 sun,9.275575637817383
 was,1.4802639484405518
 setting,3.3849453926086426
",",1.206613302230835
 and,0.5703840851783752
 Lilly,13.561063766479492
's,4.797634601593018
 fingers,6.1072516441345215
 were,1.58222496509552
 freezing,9.910755157470703
.,2.035330057144165
 When,7.297470569610596
 she,0.640369713306427
 returned,7.5363945960998535
 to,0.5181706547737122
 the,1.0152382850646973
 shore,5.321742534637451
",",0.5777461528778076
 she,0.7697679996490479
 ran,7.349717617034912
 inside,6.9263715744018555
.,3.7833712100982666
"
",2.094844341278076
She,11.819674491882324
 called,7.7348127365112305
 out,1.679520845413208
:,6.993352890014648
" """,0.6209765672683716
M,6.531286239624023
um,4.561013221740723
?,6.788539886474609
 Mum,5.838878154754639
"!""",3.7730021476745605
"
",1.3523807525634766
There,6.944761276245117
 was,0.5451472401618958
 no,2.1855170726776123
 answer,1.3166342973709106
.,0.6413371562957764
 She,2.0376884937286377
 went,5.409950256347656
 into,4.006336688995361
 her,3.234362840652466
 mother,6.472122669219971
's,0.04471379891037941
 bedroom,2.727346420288086
;,7.370997905731201
 there,3.9970715045928955
 was,0.4948030114173889
 nobody,7.343449592590332
 there,0.8009238243103027
 either,7.5144877433776855
.,0.4454791843891144
 Then,5.571576118469238
 she,0.7037714719772339
 remembered,5.393479824066162
 that,2.608347177505493
 they,6.592198848724365
 were,1.7320961952209473
 in,3.6726555824279785
 the,1.318534016609192
 kitchen,4.604644298553467
.,2.199214458465576
"
",2.557788133621216
"""",1.9864935874938965
M,4.056319236755371
um,0.08941051363945007
!,3.551675796508789
 Dad,6.257123947143555
"!""",2.15460205078125
"
",1.6847552061080933
The,4.146575450897217
 sound,6.235009670257568
 of,0.40795353055000305
 a,2.9156203269958496
 mug,13.962615966796875
 being,4.955682754516602
 set,7.936056137084961
 down,4.271007537841797
 on,2.866058588027954
 the,0.25680339336395264
 table,3.3803560733795166
 reached,8.501346588134766
 Lilly,3.115974187850952
.,1.5267513990402222
 Her,4.707798480987549
 parents,6.391269683837891
 did,7.908102512359619
 not,0.1612633764743805
 look,4.549594402313232
 up,3.1486635208129883
 from,2.169234037399292
 the,2.18898344039917
 book,6.067154407501221
 they,4.563037872314453
 were,0.842782735824585
 reading,1.2893240451812744
 to,8.109297752380371
 each,5.842676162719727
 other,0.017877494916319847
",",2.301819086074829
 and,1.9868017435073853
 went,10.11227035522461
 on,4.190733432769775
 reading,8.226143836975098
 until,4.765089988708496
 Lilly,4.819750785827637
 said,5.101800918579102
:,2.3633103370666504
" """,0.1846916675567627
What,4.920740604400635
 is,3.2932751178741455
 it,1.6417739391326904
"?""",1.0210736989974976
"
",0.3415280878543854
Her,5.311407566070557
 father,2.8889286518096924
 put,7.405572891235352
 down,4.200281620025635
 his,1.447361707687378
 glasses,6.1500325202941895
",",2.214456081390381
 her,9.85130500793457
 mother,0.5231623649597168
 closed,7.522742748260498
 her,1.2244212627410889
 book,7.39125919342041
.,2.5675241947174072
 They,4.703282833099365
 looked,3.337477684020996
 at,0.707588791847229
 what,11.423908233642578
 Lilly,5.882687568664551
 was,1.9559956789016724
 holding,7.714499473571777
 out,6.674636363983154
 to,1.6551241874694824
 them,0.6411125063896179
.,1.2746986150741577
 It,5.294240951538086
 was,0.4378722012042999
 a,1.756829023361206
 shell,12.805543899536133
-,7.015421390533447
c,9.550080299377441
asing,8.941994667053223
 that,5.801242828369141
 had,2.019120931625366
 once,5.0456953048706055
 been,0.696021556854248
 part,6.885494232177734
 of,0.012719331309199333
 an,5.2235493659973145
 ammunition,11.604409217834473
 belt,4.325414657592773
.,1.4495688676834106
 In,6.459505558013916
 its,3.871767282485962
 centre,10.334237098693848
 were,3.588595151901245
 three,3.506458282470703
 holes,6.818074703216553
;,5.849661350250244
 the,3.219935655593872
 shells,4.892090797424316
 must,8.210949897766113
 have,0.13248266279697418
 exploded,6.4456658363342285
 from,5.043295860290527
 within,4.771292209625244
",",2.488891839981079
 and,2.4375834465026855
 not,8.564199447631836
 from,1.505704641342163
 outside,3.9318857192993164
.,0.9030777215957642
"
",1.7415183782577515
"""",1.677174687385559
Well,5.936762809753418
 done,7.586508750915527
",""",1.9449365139007568
 said,2.5857081413269043
 her,2.8498153686523438
 mother,0.6933659911155701
.,0.884903609752655
" """,1.3627614974975586
You,3.292726516723633
're,3.0264291763305664
 very,5.052934646606445
 good,3.543900489807129
 at,1.5515689849853516
 this,2.661146879196167
"!""",4.60990047454834
"
",0.266247421503067
L,2.425089120864868
illy,0.0498189739882946
's,4.938896656036377
 father,3.163236618041992
 took,4.997220039367676
 a,2.8058907985687256
 magn,13.199835777282715
ifying,0.05991245061159134
 glass,0.01521102711558342
 out,3.6287424564361572
 of,0.282560259103775
 his,1.4809530973434448
 jacket,8.533548355102539
 pocket,0.15427441895008087
