token,surprisal
",",4.727972507476807
 seriously,7.78136682510376
?,4.760162830352783
 ,10.771561622619629
"
",10.059097290039062
 ,7.334075450897217
"
",1.806909203529358
 There,16.5906925201416
 were,3.744271993637085
 people,6.479112148284912
 breaking,12.3004789352417
 in,3.3910892009735107
 *,11.570306777954102
right,10.189867973327637
 now,1.738160490989685
*,0.9084659814834595
?,11.222491264343262
 ,1.84250807762146
"
",0.4334644079208374
 ,5.933192253112793
"
",2.3404934406280518
 Sweet,25.344650268554688
",",4.208439826965332
 time,12.954084396362305
 for,2.70335054397583
 an,5.992420196533203
 imp,8.18786334991455
romptu,0.09297952800989151
 field,12.401304244995117
 test,3.480508804321289
.,1.1736711263656616
 I,6.074784278869629
'm,3.0118024349212646
 practically,11.072908401489258
 done,6.878228664398193
 with,1.8947792053222656
 the,2.8174030780792236
 preliminary,10.992145538330078
 installation,14.990631103515625
 any,13.67245101928711
how,0.7376081943511963
.,0.6424146890640259
 ,1.493163824081421
"
",0.23547449707984924
 ,4.730525493621826
"
",1.619393229484558
 Loc,26.674774169921875
ating,4.602788925170898
 entrance,14.037649154663086
 portal,12.391899108886719
 and,4.89862060546875
 associated,14.626684188842773
 device,9.210697174072266
...,6.243952751159668
 ,2.4791977405548096
"
",0.34425026178359985
 ,8.595619201660156
"
",1.9624767303466797
 Done,19.66963005065918
.,1.1888645887374878
 Right,8.74998664855957
",",3.572482109069824
 portal,15.033748626708984
 frequency,16.973276138305664
 and,4.60911750793457
 phase,10.642179489135742
 shift,7.459342002868652
 next,13.041382789611816
.,2.1476986408233643
 Come,11.664094924926758
 on,0.7341597676277161
",",1.1158839464187622
 A,11.583046913146973
perture,9.0565185546875
 Portal,15.791611671447754
 Re,12.414445877075195
-,3.779282808303833
dec,14.874567985534668
al,5.23086404800415
ibr,13.91226863861084
ator,2.983614444732666
",",3.448970079421997
 you,4.129678249359131
 were,7.246382713317871
 n,10.98465347290039
't,10.976472854614258
 cheap,14.118731498718262
...,5.688839435577393
 ,1.3559997081756592
"
",0.4169972538948059
 ,9.975316047668457
"
",1.1816432476043701
 Come,11.725592613220215
 on,0.30468684434890747
...,5.157354831695557
 ,2.2543740272521973
"
",1.2407379150390625
 ,10.551899909973145
"
",4.108490943908691
 Shit,17.119373321533203
",",1.3923431634902954
 are,8.467022895812988
 they,5.147917747497559
 on,7.063682556152344
 the,2.4729809761047363
 third,8.552295684814453
 floor,0.8224297761917114
 already,7.365818500518799
?,0.2868861258029938
 ,0.7207750082015991
"
",0.11284605413675308
 ,7.699716091156006
"
",1.6093589067459106
...,10.024238586425781
 D,10.003454208374023
ONE,8.04953670501709
!,2.3652358055114746
 HELL,13.483457565307617
 YES,3.811685800552368
!,0.980491042137146
 ,0.9903814792633057
"
",0.7389851808547974
 ,6.539066791534424
"
",2.2674670219421387
 Now,13.540013313293457
",",2.175638437271118
 what,5.056687831878662
 to,6.836695671081543
 do,0.353406697511673
",",5.090929985046387
 what,4.53582239151001
 to,0.9959427714347839
 do,0.3079723119735718
...,3.138658285140991
 ,0.8708023428916931
"
",0.21044465899467468
 ,3.834780693054199
"
",0.8515938520431519
 Ha,16.842018127441406
.,4.676172733306885
 H,7.6542582511901855
ah,2.05407452583313
aha,0.6587855219841003
.,1.9350508451461792
 ,1.4334903955459595
"
",0.9613281488418579
 ,4.661663055419922
"
",3.120448350906372
 That,12.425926208496094
'll,7.243067741394043
 do,2.2300548553466797
.,1.104650616645813
 Let,6.569660186767578
's,0.18195171654224396
 send,10.87686824798584
 them,3.800532341003418
 on,4.931097984313965
 a,3.77179217338562
 little,5.363924980163574
 holiday,8.465188026428223
.,2.9537084102630615
 ,0.68120276927948
"
",0.09689771384000778
 ,8.943958282470703
"
",1.0327459573745728
 *,8.762652397155762
And,8.119149208068848
 that,4.671236038208008
 was,6.228297710418701
 how,6.975827693939209
",",7.449049949645996
 next,12.222777366638184
 morning,5.350240230560303
 at,7.256158828735352
 twenty,9.89162826538086
-,1.384382724761963
two,2.742769479751587
 past,11.769762992858887
 eleven,3.1673641204833984
",",0.6601644158363342
 two,8.182035446166992
 sewer,17.036924362182617
 maintenance,10.827810287475586
 workers,2.0049946308135986
 found,5.865062713623047
 three,8.878923416137695
 unconscious,11.534738540649414
 misc,15.994206428527832
re,0.007577037904411554
ants,0.041463833302259445
 in,2.805138349533081
 the,1.4005814790725708
 deepest,12.47579574584961
",",5.788817405700684
 d,9.907408714294434
ank,0.7395262122154236
est,0.3945237696170807
",",3.2370097637176514
 most,1.764803171157837
 ranc,16.215076446533203
id,0.23684468865394592
 part,3.38714337348938
 of,0.025859404355287552
 the,0.8219435214996338
 sewer,5.182185173034668
 network,6.764247417449951
.,0.831291139125824
 *,6.868476867675781
"
",1.0606842041015625
