token_id,token,next_token_id,next_token,log_prob,surprisal,source_file
1,"""",632, It,-6.757798,6.757798,llama-2-7b@q8_0_39.txt
632, It,564, �,-13.630558,13.630558,llama-2-7b@q8_0_39.txt
564, �,247,�,-8.616856,8.616856,llama-2-7b@q8_0_39.txt
247,�,264, s,-7.2894306,7.2894306,llama-2-7b@q8_0_39.txt
264, s,370, W,-10.581505,10.581505,llama-2-7b@q8_0_39.txt
370, W,12,-,-5.2513537,5.2513537,llama-2-7b@q8_0_39.txt
12,-,32,A,-4.8042765,4.8042765,llama-2-7b@q8_0_39.txt
32,A,12,-,-0.3683743,0.3683743,llama-2-7b@q8_0_39.txt
12,-,45,N,-2.7721841,2.7721841,llama-2-7b@q8_0_39.txt
45,N,12,-,-0.40890795,0.40890795,llama-2-7b@q8_0_39.txt
12,-,38,G,-3.0160184,3.0160184,llama-2-7b@q8_0_39.txt
38,G,351, with,-6.961781,6.961781,llama-2-7b@q8_0_39.txt
351, with,4274, double,-8.320578,8.320578,llama-2-7b@q8_0_39.txt
4274, double,399, N,-7.40173,7.40173,llama-2-7b@q8_0_39.txt
399, N,564, �,-6.534032,6.534032,llama-2-7b@q8_0_39.txt
564, �,247,�,-1.6283935,1.6283935,llama-2-7b@q8_0_39.txt
247,�,264, s,-2.431206,2.431206,llama-2-7b@q8_0_39.txt
264, s,5145, !,-6.0662208,6.0662208,llama-2-7b@q8_0_39.txt
5145, !,366," """,-4.34081,4.34081,llama-2-7b@q8_0_39.txt
366," """,198,"
",-2.5905375,2.5905375,llama-2-7b@q8_0_39.txt
198,"
",198,"
",-0.0038177716,0.0038177716,llama-2-7b@q8_0_39.txt
198,"
",1,"""",-2.1360059,2.1360059,llama-2-7b@q8_0_39.txt
1,"""",843, And,-5.1072054,5.1072054,llama-2-7b@q8_0_39.txt
843, And,644, what,-4.1111326,4.1111326,llama-2-7b@q8_0_39.txt
644, what,447,�,-6.6204405,6.6204405,llama-2-7b@q8_0_39.txt
447,�,247,�,-1.482159,1.482159,llama-2-7b@q8_0_39.txt
247,�,82,s,-3.5707617,3.5707617,llama-2-7b@q8_0_39.txt
82,s,262, the,-1.6545769,1.6545769,llama-2-7b@q8_0_39.txt
262, the,11849, passenger,-11.434686,11.434686,llama-2-7b@q8_0_39.txt
11849, passenger,1271, number,-6.3123136,6.3123136,llama-2-7b@q8_0_39.txt
1271, number,5633, ?,-3.8556156,3.8556156,llama-2-7b@q8_0_39.txt
5633, ?,366," """,-0.55253553,0.55253553,llama-2-7b@q8_0_39.txt
366," """,198,"
",-0.6039275,0.6039275,llama-2-7b@q8_0_39.txt
198,"
",198,"
",-0.00023672162,0.00023672162,llama-2-7b@q8_0_39.txt
198,"
",1,"""",-0.2527615,0.2527615,llama-2-7b@q8_0_39.txt
1,"""",47239, Passenger,-7.8831387,7.8831387,llama-2-7b@q8_0_39.txt
47239, Passenger,1271, number,-0.63516784,0.63516784,llama-2-7b@q8_0_39.txt
1271, number,767, 7,-6.46984,6.46984,llama-2-7b@q8_0_39.txt
767, 7,2231,45,-4.2335787,4.2335787,llama-2-7b@q8_0_39.txt
2231,45,764, .,-5.6418304,5.6418304,llama-2-7b@q8_0_39.txt
764, .,366," """,-0.69114864,0.69114864,llama-2-7b@q8_0_39.txt
366," """,198,"
",-0.29016817,0.29016817,llama-2-7b@q8_0_39.txt
198,"
",198,"
",-0.00023898606,0.00023898606,llama-2-7b@q8_0_39.txt
198,"
",1,"""",-0.2039842,0.2039842,llama-2-7b@q8_0_39.txt
1,"""",1439, All,-6.0721755,6.0721755,llama-2-7b@q8_0_39.txt
1439, All,826, right,-2.555502,2.555502,llama-2-7b@q8_0_39.txt
826, right,837," ,",-3.3948905,3.3948905,llama-2-7b@q8_0_39.txt
837," ,",6997, Ms,-7.7422,7.7422,llama-2-7b@q8_0_39.txt
6997, Ms,13,.,-0.44193715,0.44193715,llama-2-7b@q8_0_39.txt
13,.,15233, Wang,-7.9614925,7.9614925,llama-2-7b@q8_0_39.txt
15233, Wang,13,.,-1.464052,1.464052,llama-2-7b@q8_0_39.txt
13,.,383, The,-4.5140877,4.5140877,llama-2-7b@q8_0_39.txt
383, The,649, new,-7.413204,7.413204,llama-2-7b@q8_0_39.txt
649, new,5474, flight,-6.0208254,6.0208254,llama-2-7b@q8_0_39.txt
5474, flight,481, will,-2.0272934,2.0272934,llama-2-7b@q8_0_39.txt
481, will,307, be,-1.4525833,1.4525833,llama-2-7b@q8_0_39.txt
307, be,319, on,-3.8639371,3.8639371,llama-2-7b@q8_0_39.txt
319, on,2932, August,-5.7823076,5.7823076,llama-2-7b@q8_0_39.txt
2932, August,362, 2,-3.681749,3.681749,llama-2-7b@q8_0_39.txt
362, 2,379, at,-3.4261818,3.4261818,llama-2-7b@q8_0_39.txt
379, at,860, 9,-2.1008997,2.1008997,llama-2-7b@q8_0_39.txt
860, 9,25,:,-0.5089432,0.5089432,llama-2-7b@q8_0_39.txt
25,:,486,01,-4.2613707,4.2613707,llama-2-7b@q8_0_39.txt
486,01,9114, pm,-4.0644894,4.0644894,llama-2-7b@q8_0_39.txt
9114, pm,764, .,-3.0452647,3.0452647,llama-2-7b@q8_0_39.txt
764, .,1867, What,-5.8583097,5.8583097,llama-2-7b@q8_0_39.txt
1867, What,318, is,-1.9554068,1.9554068,llama-2-7b@q8_0_39.txt
318, is,534, your,-1.1058974,1.1058974,llama-2-7b@q8_0_39.txt
534, your,3884, credit,-8.9790745,8.9790745,llama-2-7b@q8_0_39.txt
3884, credit,2657, card,-0.76814145,0.76814145,llama-2-7b@q8_0_39.txt
2657, card,1321, information,-3.8731968,3.8731968,llama-2-7b@q8_0_39.txt
1321, information,5633, ?,-0.7205358,0.7205358,llama-2-7b@q8_0_39.txt
5633, ?,366," """,-0.23959379,0.23959379,llama-2-7b@q8_0_39.txt
366," """,198,"
",-0.08921109,0.08921109,llama-2-7b@q8_0_39.txt
198,"
",198,"
",-0.00021944022,0.00021944022,llama-2-7b@q8_0_39.txt
198,"
",1,"""",-0.11441428,0.11441428,llama-2-7b@q8_0_39.txt
1,"""",6952, Thank,-3.4285057,3.4285057,llama-2-7b@q8_0_39.txt
6952, Thank,345, you,-0.04906483,0.04906483,llama-2-7b@q8_0_39.txt
