token_id,token,next_token_id,next_token,log_prob,surprisal,source_file
1,"""",5779,Well,-8.58292,8.58292,llama-2-7b-chat@q8_0_5.txt
5779,Well,11,",",-0.44004774,0.44004774,llama-2-7b-chat@q8_0_5.txt
11,",",314, I,-1.7011253,1.7011253,llama-2-7b-chat@q8_0_5.txt
314, I,1101,'m,-1.7639738,1.7639738,llama-2-7b-chat@q8_0_5.txt
1101,'m,1682, actually,-5.1586747,5.1586747,llama-2-7b-chat@q8_0_5.txt
1682, actually,517, more,-4.4733734,4.4733734,llama-2-7b-chat@q8_0_5.txt
517, more,656, into,-4.2313128,4.2313128,llama-2-7b-chat@q8_0_5.txt
656, into,11783, soccer,-6.918627,6.918627,llama-2-7b-chat@q8_0_5.txt
11783, soccer,3589, myself,-6.1707892,6.1707892,llama-2-7b-chat@q8_0_5.txt
3589, myself,13,.,-1.6280279,1.6280279,llama-2-7b-chat@q8_0_5.txt
13,.,632, It,-2.5637808,2.5637808,llama-2-7b-chat@q8_0_5.txt
632, It,338,'s,-0.25691333,0.25691333,llama-2-7b-chat@q8_0_5.txt
338,'s,257, a,-2.131463,2.131463,llama-2-7b-chat@q8_0_5.txt
257, a,845, very,-3.5060923,3.5060923,llama-2-7b-chat@q8_0_5.txt
845, very,2968, popular,-4.891007,4.891007,llama-2-7b-chat@q8_0_5.txt
2968, popular,6332, sport,-0.12546097,0.12546097,llama-2-7b-chat@q8_0_5.txt
6332, sport,994, here,-3.1044526,3.1044526,llama-2-7b-chat@q8_0_5.txt
994, here,1165, too,-6.8808904,6.8808904,llama-2-7b-chat@q8_0_5.txt
1165, too,11,",",-1.2936052,1.2936052,llama-2-7b-chat@q8_0_5.txt
11,",",2592, especially,-3.5841384,3.5841384,llama-2-7b-chat@q8_0_5.txt
2592, especially,1141, during,-4.759914,4.759914,llama-2-7b-chat@q8_0_5.txt
1141, during,262, the,-0.5232809,0.5232809,llama-2-7b-chat@q8_0_5.txt
262, the,2159, World,-4.354541,4.354541,llama-2-7b-chat@q8_0_5.txt
2159, World,5454, Cup,-0.008554954,0.008554954,llama-2-7b-chat@q8_0_5.txt
5454, Cup,526,".""",-1.9130738,1.9130738,llama-2-7b-chat@q8_0_5.txt
526,".""",198,"
",-0.21560876,0.21560876,llama-2-7b-chat@q8_0_5.txt
198,"
",198,"
",-0.00046492735,0.00046492735,llama-2-7b-chat@q8_0_5.txt
198,"
",1,"""",-2.946304,2.946304,llama-2-7b-chat@q8_0_5.txt
1,"""",5812,Oh,-4.853312,4.853312,llama-2-7b-chat@q8_0_5.txt
5812,Oh,11,",",-0.5970433,0.5970433,llama-2-7b-chat@q8_0_5.txt
11,",",1107, really,-4.364704,4.364704,llama-2-7b-chat@q8_0_5.txt
1107, really,30,?,-0.66914076,0.66914076,llama-2-7b-chat@q8_0_5.txt
30,?,314, I,-1.9246249,1.9246249,llama-2-7b-chat@q8_0_5.txt
314, I,1101,'m,-1.9153068,1.9153068,llama-2-7b-chat@q8_0_5.txt
1101,'m,1682, actually,-3.6674378,3.6674378,llama-2-7b-chat@q8_0_5.txt
1682, actually,517, more,-1.9536849,1.9536849,llama-2-7b-chat@q8_0_5.txt
517, more,656, into,-0.04903725,0.04903725,llama-2-7b-chat@q8_0_5.txt
656, into,1074, team,-7.2107534,7.2107534,llama-2-7b-chat@q8_0_5.txt
1074, team,5701, sports,-1.0039967,1.0039967,llama-2-7b-chat@q8_0_5.txt
5701, sports,13,.,-1.7481867,1.7481867,llama-2-7b-chat@q8_0_5.txt
13,.,2141, Do,-6.4676023,6.4676023,llama-2-7b-chat@q8_0_5.txt
2141, Do,345, you,-0.13181545,0.13181545,llama-2-7b-chat@q8_0_5.txt
345, you,892, think,-1.6526062,1.6526062,llama-2-7b-chat@q8_0_5.txt
892, think,314, I,-1.6624773,1.6624773,llama-2-7b-chat@q8_0_5.txt
314, I,714, could,-3.116995,3.116995,llama-2-7b-chat@q8_0_5.txt
714, could,2193, learn,-4.851324,4.851324,llama-2-7b-chat@q8_0_5.txt
2193, learn,703, how,-3.727789,3.727789,llama-2-7b-chat@q8_0_5.txt
703, how,284, to,-0.046003327,0.046003327,llama-2-7b-chat@q8_0_5.txt
284, to,711, play,-1.165024,1.165024,llama-2-7b-chat@q8_0_5.txt
711, play,9669, basketball,-5.7989907,5.7989907,llama-2-7b-chat@q8_0_5.txt
9669, basketball,1701,"?""",-1.0195881,1.0195881,llama-2-7b-chat@q8_0_5.txt
