token_id,token,next_token_id,next_token,log_prob,surprisal,source_file
1,"""",2094, Don,-9.580555,9.580555,mistral-7b-instruct-v0.1@q8_0_235.txt
2094, Don,470,'t,-0.2220888,0.2220888,mistral-7b-instruct-v0.1@q8_0_235.txt
470,'t,5490, worry,-2.6085136,2.6085136,mistral-7b-instruct-v0.1@q8_0_235.txt
5490, worry,11,",",-0.79147744,0.79147744,mistral-7b-instruct-v0.1@q8_0_235.txt
11,",",356, we,-2.6163788,2.6163788,mistral-7b-instruct-v0.1@q8_0_235.txt
356, we,815, should,-7.28977,7.28977,mistral-7b-instruct-v0.1@q8_0_235.txt
815, should,2652, stay,-5.221899,5.221899,mistral-7b-instruct-v0.1@q8_0_235.txt
2652, stay,3338, safe,-4.203384,4.203384,mistral-7b-instruct-v0.1@q8_0_235.txt
3338, safe,290, and,-2.6829054,2.6829054,mistral-7b-instruct-v0.1@q8_0_235.txt
290, and,2461, respect,-7.377645,7.377645,mistral-7b-instruct-v0.1@q8_0_235.txt
2461, respect,262, the,-1.7843266,1.7843266,mistral-7b-instruct-v0.1@q8_0_235.txt
262, the,7476, risks,-9.32647,9.32647,mistral-7b-instruct-v0.1@q8_0_235.txt
7476, risks,13,.,-1.4784324,1.4784324,mistral-7b-instruct-v0.1@q8_0_235.txt
13,.,1318, There,-4.5579653,4.5579653,mistral-7b-instruct-v0.1@q8_0_235.txt
1318, There,389, are,-0.94648004,0.94648004,mistral-7b-instruct-v0.1@q8_0_235.txt
389, are,8776, trained,-9.074636,9.074636,mistral-7b-instruct-v0.1@q8_0_235.txt
8776, trained,11153, professionals,-2.9128914,2.9128914,mistral-7b-instruct-v0.1@q8_0_235.txt
11153, professionals,994, here,-3.3730583,3.3730583,mistral-7b-instruct-v0.1@q8_0_235.txt
994, here,284, to,-1.7638907,1.7638907,mistral-7b-instruct-v0.1@q8_0_235.txt
284, to,5412, handle,-4.612394,4.612394,mistral-7b-instruct-v0.1@q8_0_235.txt
5412, handle,597, any,-2.1504097,2.1504097,mistral-7b-instruct-v0.1@q8_0_235.txt
597, any,36047, emergencies,-2.938118,2.938118,mistral-7b-instruct-v0.1@q8_0_235.txt
36047, emergencies,13,.,-0.9267573,0.9267573,mistral-7b-instruct-v0.1@q8_0_235.txt
13,.,8227, Plus,-8.024091,8.024091,mistral-7b-instruct-v0.1@q8_0_235.txt
8227, Plus,11,",",-0.5092057,0.5092057,mistral-7b-instruct-v0.1@q8_0_235.txt
11,",",356, we,-1.6678691,1.6678691,mistral-7b-instruct-v0.1@q8_0_235.txt
356, we,460, can,-3.2803981,3.2803981,mistral-7b-instruct-v0.1@q8_0_235.txt
460, can,1464, always,-3.643949,3.643949,mistral-7b-instruct-v0.1@q8_0_235.txt
1464, always,2666, leave,-5.454698,5.454698,mistral-7b-instruct-v0.1@q8_0_235.txt
2666, leave,611, if,-3.9999807,3.9999807,mistral-7b-instruct-v0.1@q8_0_235.txt
611, if,1997, anything,-5.2616262,5.2616262,mistral-7b-instruct-v0.1@q8_0_235.txt
1997, anything,5300, feels,-8.122703,8.122703,mistral-7b-instruct-v0.1@q8_0_235.txt
5300, feels,1165, too,-2.530306,2.530306,mistral-7b-instruct-v0.1@q8_0_235.txt
1165, too,4923, dangerous,-0.80905634,0.80905634,mistral-7b-instruct-v0.1@q8_0_235.txt
4923, dangerous,13,.,-0.74552965,0.74552965,mistral-7b-instruct-v0.1@q8_0_235.txt
13,.,3914, Let,-5.4768314,5.4768314,mistral-7b-instruct-v0.1@q8_0_235.txt
3914, Let,338,'s,-0.7692052,0.7692052,mistral-7b-instruct-v0.1@q8_0_235.txt
338,'s,655, just,-3.155399,3.155399,mistral-7b-instruct-v0.1@q8_0_235.txt
655, just,2883, enjoy,-4.6052284,4.6052284,mistral-7b-instruct-v0.1@q8_0_235.txt
2883, enjoy,262, the,-1.0151826,1.0151826,mistral-7b-instruct-v0.1@q8_0_235.txt
262, the,905, show,-5.1127295,5.1127295,mistral-7b-instruct-v0.1@q8_0_235.txt
905, show,329, for,-4.3040524,4.3040524,mistral-7b-instruct-v0.1@q8_0_235.txt
329, for,783, now,-2.678644,2.678644,mistral-7b-instruct-v0.1@q8_0_235.txt
783, now,526,".""",-3.632948,3.632948,mistral-7b-instruct-v0.1@q8_0_235.txt
526,".""",198,"
",-0.6628593,0.6628593,mistral-7b-instruct-v0.1@q8_0_235.txt
198,"
",198,"
",-0.0046897656,0.0046897656,mistral-7b-instruct-v0.1@q8_0_235.txt
198,"
",1,"""",-2.5054715,2.5054715,mistral-7b-instruct-v0.1@q8_0_235.txt
1,"""",1318, There,-9.263402,9.263402,mistral-7b-instruct-v0.1@q8_0_235.txt
1318, There,1276, must,-4.623497,4.623497,mistral-7b-instruct-v0.1@q8_0_235.txt
1276, must,307, be,-0.14872308,0.14872308,mistral-7b-instruct-v0.1@q8_0_235.txt
307, be,617, some,-1.8931876,1.8931876,mistral-7b-instruct-v0.1@q8_0_235.txt
617, some,6716, nearby,-9.932459,9.932459,mistral-7b-instruct-v0.1@q8_0_235.txt
6716, nearby,12269, mountains,-6.7947474,6.7947474,mistral-7b-instruct-v0.1@q8_0_235.txt
12269, mountains,351, with,-4.4792776,4.4792776,mistral-7b-instruct-v0.1@q8_0_235.txt
351, with,922, good,-4.257433,4.257433,mistral-7b-instruct-v0.1@q8_0_235.txt
922, good,6729, snow,-5.4373426,5.4373426,mistral-7b-instruct-v0.1@q8_0_235.txt
6729, snow,7207,fall,-2.587739,2.587739,mistral-7b-instruct-v0.1@q8_0_235.txt
7207,fall,13,.,-1.1609962,1.1609962,mistral-7b-instruct-v0.1@q8_0_235.txt
13,.,1471, Or,-6.6071153,6.6071153,mistral-7b-instruct-v0.1@q8_0_235.txt
1471, Or,484, they,-4.5203485,4.5203485,mistral-7b-instruct-v0.1@q8_0_235.txt
484, they,714, could,-1.9634058,1.9634058,mistral-7b-instruct-v0.1@q8_0_235.txt
714, could,423, have,-2.7482522,2.7482522,mistral-7b-instruct-v0.1@q8_0_235.txt
423, have,3181, brought,-6.1469874,6.1469874,mistral-7b-instruct-v0.1@q8_0_235.txt
3181, brought,340, it,-3.735158,3.735158,mistral-7b-instruct-v0.1@q8_0_235.txt
340, it,287, in,-2.622243,2.622243,mistral-7b-instruct-v0.1@q8_0_235.txt
287, in,422, from,-2.1029983,2.1029983,mistral-7b-instruct-v0.1@q8_0_235.txt
422, from,1194, another,-3.9484563,3.9484563,mistral-7b-instruct-v0.1@q8_0_235.txt
1194, another,4067, location,-3.0118802,3.0118802,mistral-7b-instruct-v0.1@q8_0_235.txt
4067, location,526,".""",-2.7081895,2.7081895,mistral-7b-instruct-v0.1@q8_0_235.txt
526,".""",198,"
",-0.4448864,0.4448864,mistral-7b-instruct-v0.1@q8_0_235.txt
198,"
",198,"
",-0.00045777808,0.00045777808,mistral-7b-instruct-v0.1@q8_0_235.txt
198,"
",1,"""",-0.5511324,0.5511324,mistral-7b-instruct-v0.1@q8_0_235.txt
1,"""",4599, Good,-6.3901787,6.3901787,mistral-7b-instruct-v0.1@q8_0_235.txt
4599, Good,966, point,-3.409869,3.409869,mistral-7b-instruct-v0.1@q8_0_235.txt
966, point,13,.,-0.72948277,0.72948277,mistral-7b-instruct-v0.1@q8_0_235.txt
13,.,314, I,-2.1476653,2.1476653,mistral-7b-instruct-v0.1@q8_0_235.txt
314, I,1101,'m,-1.9254385,1.9254385,mistral-7b-instruct-v0.1@q8_0_235.txt
1101,'m,1654, sure,-1.8295971,1.8295971,mistral-7b-instruct-v0.1@q8_0_235.txt
1654, sure,484, they,-2.0824947,2.0824947,mistral-7b-instruct-v0.1@q8_0_235.txt
484, they,1011, take,-6.8820167,6.8820167,mistral-7b-instruct-v0.1@q8_0_235.txt
1011, take,477, all,-3.9729218,3.9729218,mistral-7b-instruct-v0.1@q8_0_235.txt
477, all,3306, necessary,-4.5130596,4.5130596,mistral-7b-instruct-v0.1@q8_0_235.txt
3306, necessary,31320, precautions,-0.10258007,0.10258007,mistral-7b-instruct-v0.1@q8_0_235.txt
31320, precautions,284, to,-1.6332079,1.6332079,mistral-7b-instruct-v0.1@q8_0_235.txt
284, to,17775, minimize,-4.059078,4.059078,mistral-7b-instruct-v0.1@q8_0_235.txt
17775, minimize,597, any,-2.2194958,2.2194958,mistral-7b-instruct-v0.1@q8_0_235.txt
597, any,4633, negative,-6.1373,6.1373,mistral-7b-instruct-v0.1@q8_0_235.txt
4633, negative,2928, impact,-2.6560009,2.6560009,mistral-7b-instruct-v0.1@q8_0_235.txt
2928, impact,319, on,-1.6004249,1.6004249,mistral-7b-instruct-v0.1@q8_0_235.txt
319, on,262, the,-0.74512494,0.74512494,mistral-7b-instruct-v0.1@q8_0_235.txt
262, the,2858, environment,-3.1003022,3.1003022,mistral-7b-instruct-v0.1@q8_0_235.txt
2858, environment,526,".""",-1.5015948,1.5015948,mistral-7b-instruct-v0.1@q8_0_235.txt
526,".""",198,"
",-0.2303693,0.2303693,mistral-7b-instruct-v0.1@q8_0_235.txt
198,"
",198,"
",-0.00041142583,0.00041142583,mistral-7b-instruct-v0.1@q8_0_235.txt
198,"
",1,"""",-0.55597925,0.55597925,mistral-7b-instruct-v0.1@q8_0_235.txt
1,"""",3914, Let,-4.8552732,4.8552732,mistral-7b-instruct-v0.1@q8_0_235.txt
3914, Let,338,'s,-0.14637364,0.14637364,mistral-7b-instruct-v0.1@q8_0_235.txt
338,'s,467, go,-1.8286217,1.8286217,mistral-7b-instruct-v0.1@q8_0_235.txt
467, go,290, and,-3.0702384,3.0702384,mistral-7b-instruct-v0.1@q8_0_235.txt
290, and,1561, talk,-3.6840024,3.6840024,mistral-7b-instruct-v0.1@q8_0_235.txt
1561, talk,284, to,-1.003085,1.003085,mistral-7b-instruct-v0.1@q8_0_235.txt
284, to,606, them,-2.932661,2.932661,mistral-7b-instruct-v0.1@q8_0_235.txt
