filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,model,dataset,vocab_size,sentence_length,model_class,model_family
llama-2-7b-chat@q8_0_269.csv,299,2.979416229780339,1.4776694774627686,6.208707054611295e-05,36.44112014770508,20.34495599702688,41.64078033248903,llama-2-7b-chat@q8_0,WildChat,131.0,18.0,chat,llama
mistral-plus-7b@q8_0_149.csv,2,12.731748580932615,12.731748580932615,10.513997077941896,14.94950008392334,4.918421729017606,19.673686916070423,mistral-plus-7b@q8_0,WildChat,2.0,1.0,chat,mistral
mistral-7b-instruct-v0.1@q8_0_162.csv,439,3.4725766420383737,2.221929788589477,0.0002075980009976,21.68838691711425,14.81172988274382,21.612530175613266,mistral-7b-instruct-v0.1@q8_0,WildChat,169.0,20.176470588235293,instruct,mistral
mistral-7b-instruct-v0.1@q8_0_211.csv,422,3.423731679303752,2.440293312072754,0.0001651127968216,22.213682174682617,11.851027746331456,27.09492570837604,mistral-7b-instruct-v0.1@q8_0,WildChat,210.0,16.95,instruct,mistral
llama-2-7b@q8_0_205.csv,836,3.573717543547239,2.864883542060852,7.412643026327714e-05,19.090791702270508,10.412581116184644,20.884899031292463,llama-2-7b@q8_0,WildChat,348.0,23.33333333333333,base,llama
llama-2-7b-32k-instruct@q8_0_80.csv,346,3.718213975171133,3.204617500305176,0.0084255635738372,21.48944854736328,9.194893515020974,16.136735672616755,llama-2-7b-32k-instruct@q8_0,WildChat,63.0,37.5,instruct,llama
llama-2-7b-chat@q8_0_228.csv,167,3.616507556520174,2.727506399154663,0.0016016172012314,16.942893981933594,10.506517068113752,19.30249147158128,llama-2-7b-chat@q8_0,WildChat,94.0,14.88888888888889,chat,llama
mistral-7b-v0.1@q8_0_230.csv,206,5.033474027521929,3.747107982635498,0.0004172042245045,20.228668212890625,18.59508693291424,33.79075731664097,mistral-7b-v0.1@q8_0,WildChat,118.0,13.444444444444445,base,mistral
mistral-7b-instruct-v0.1@q8_0_66.csv,395,3.771068080522811,2.8494210243225098,0.0002297871251357,22.92246627807617,11.50109908004196,20.400146956197563,mistral-7b-instruct-v0.1@q8_0,WildChat,213.0,23.285714285714285,instruct,mistral
llama-2-7b@q8_0_118.csv,169,4.180593266690008,2.890007495880127,0.0003244817489758,18.71402931213379,16.970626285896664,25.38811018998049,llama-2-7b@q8_0,WildChat,83.0,15.6,base,llama
llama-2-7b@q8_0_132.csv,1023,2.3972702471857783,0.0864759683609008,0.0002211866376455,31.014488220214844,19.21828462428355,27.841973554342527,llama-2-7b@q8_0,WildChat,215.0,105.66666666666669,base,llama
mistral-7b-instruct-v0.1@q8_0_3.csv,325,3.6794132855123967,2.023508071899414,0.0001886773097794,20.31292152404785,17.11258611355367,31.46622296891783,mistral-7b-instruct-v0.1@q8_0,WildChat,146.0,232.0,instruct,mistral
mistral-7b-v0.1@q8_0_159.csv,1023,4.225384009465972,3.146334648132324,0.00033050251659,35.28848648071289,18.252116226988136,37.33545876189023,mistral-7b-v0.1@q8_0,WildChat,494.0,27.692307692307693,base,mistral
llama-2-7b-chat@q8_0_189.csv,273,3.4304406654442348,2.0375354290008545,0.0003970765974372,20.43561744689941,15.365255842548049,28.28398135401647,llama-2-7b-chat@q8_0,WildChat,102.0,12.2,chat,llama
mistral-plus-7b@q8_0_37.csv,557,4.169625219042571,3.0262818336486816,0.0001527286804048,34.45946502685547,20.82590172844645,37.42692395218798,mistral-plus-7b@q8_0,WildChat,256.0,25.928571428571427,chat,mistral
mistral-7b-instruct-v0.1@q8_0_223.csv,66,5.674191343894398,5.153757572174072,0.0073146177455782,25.59857940673828,17.228648228524282,32.11254242012118,mistral-7b-instruct-v0.1@q8_0,WildChat,14.0,7.0,instruct,mistral
llama-2-7b-32k-instruct@q8_0_158.csv,379,4.188124118940812,2.9970552921295166,5.606743434327655e-05,19.174461364746094,14.581355738198216,27.098021693535514,llama-2-7b-32k-instruct@q8_0,WildChat,206.0,19.714285714285715,instruct,llama
mistral-7b-instruct-v0.1@q8_0_85.csv,433,3.664496802181705,2.730402708053589,0.0002134462556568,16.88438606262207,11.996995544629051,25.97270043811395,mistral-7b-instruct-v0.1@q8_0,WildChat,204.0,23.73333333333333,instruct,mistral
llama-2-7b-chat@q8_0_69.csv,451,3.4298707919069846,2.2371084690093994,0.0007640632102265,28.95859146118164,13.6673055156924,26.381304003142727,llama-2-7b-chat@q8_0,WildChat,190.0,18.105263157894736,chat,llama
mistral-7b-v0.1@q8_0_232.csv,1022,2.278645848846798,0.1822556257247924,9.115109605772886e-06,24.55011558532715,16.413716428529334,26.332029022516576,mistral-7b-v0.1@q8_0,WildChat,128.0,90.0,base,mistral
llama-2-7b@q8_0_160.csv,302,3.885576233629751,3.3130784034729004,0.0012707373825833,17.459150314331055,10.129674028809626,20.89070928679701,llama-2-7b@q8_0,WildChat,155.0,19.428571428571427,base,llama
llama-2-7b-chat@q8_0_17.csv,1023,3.2672228249875994,0.9079554080963136,4.110443842364475e-05,21.709135055541992,17.625229835766856,32.416518103566325,llama-2-7b-chat@q8_0,WildChat,341.0,40.5625,chat,llama
llama-2-7b-32k-instruct@q8_0_290.csv,657,3.156956679065159,2.2897980213165283,5.1251739932922646e-05,19.76895523071289,9.55646072375423,18.911502729517444,llama-2-7b-32k-instruct@q8_0,WildChat,265.0,15.303030303030305,instruct,llama
llama-2-7b-32k-instruct@q8_0_268.csv,1023,1.5433358594173785,0.0833021029829979,5.1594888645922765e-06,16.17310333251953,7.122159589899505,9.469413717452817,llama-2-7b-32k-instruct@q8_0,WildChat,159.0,16.17391304347826,instruct,llama
mistral-7b-instruct-v0.1@q8_0_52.csv,410,3.7648669199749727,2.836687564849853,0.0002696079900488,17.151348114013672,12.423064997296123,25.363696842967457,mistral-7b-instruct-v0.1@q8_0,WildChat,217.0,24.923076923076923,instruct,mistral
llama-2-7b-chat@q8_0_49.csv,408,3.4924102146667826,2.1910749673843384,0.0006021509179845,19.894147872924805,13.26159411692942,22.477465912149103,llama-2-7b-chat@q8_0,WildChat,185.0,11.038461538461538,chat,llama
llama-2-7b-32k-instruct@q8_0_49.csv,554,3.2902488487867,2.522363066673279,0.000240967812715,19.894147872924805,12.16708217596017,19.42353871210515,llama-2-7b-32k-instruct@q8_0,WildChat,229.0,8.736842105263158,instruct,llama
