,token,surprisal
0, is,4.918538570404053
1, only,7.913753509521484
2, 17,7.941573619842529
3, years,1.749800682067871
4, old,0.0688248872756958
5, and,1.8157771825790405
6, has,1.9535632133483887
7, not,5.1698455810546875
8, yet,2.504746675491333
9, reached,4.575494289398193
10, the,1.9008511304855347
11, age,3.176018238067627
12, of,0.2829907238483429
13, majority,5.1223249435424805
14,.,1.8017784357070923
15, As,6.638059616088867
16, such,2.9617207050323486
17, it,6.5307393074035645
18, would,3.686591386795044
19, be,0.9625179171562195
20, unethical,7.753572463989258
21, to,1.833310842514038
22, grant,10.118063926696777
23, him,1.4433664083480835
24, access,5.854397773742676
25, to,0.07872544974088669
26, his,4.461636066436768
27, funds,10.62536334991455
28,.,2.2205471992492676
29, In,5.669259071350098
30, any,4.6118903160095215
31, case,0.8496872782707214
32,",",0.5945931077003479
33, the,3.2863454818725586
34, money,6.197139263153076
35, belongs,9.311627388000488
36, to,0.1005517989397049
37, his,3.57704758644104
38, father,4.03740119934082
39,",",2.083632707595825
40, who,1.3614566326141357
41, has,2.54565691947937
42, already,4.084640979766846
43, been,4.21586799621582
44, granted,4.625483989715576
45, guardians,11.938438415527344
46,hip,0.004353509284555912
47, in,6.09226655960083
48, the,2.1707088947296143
49, event,7.364035129547119
50, that,2.388827323913574
51, something,9.884675025939941
52, were,8.36721134185791
53, to,0.10081163793802261
54, happen,0.460588276386261
55, to,0.9038106799125671
56, Daniel,13.49243450164795
57,'s,3.438112497329712
58, mother,4.888898849487305
59,.,0.7534521818161011
60,"
",1.0765615701675415
