token,surprisal
 got,8.802334785461426
 a,3.0883071422576904
 divorce,12.021994590759277
 at,6.425257682800293
 last,9.07219409942627
 .,12.287707328796387
 ,10.167156219482422
"

",16.742076873779297
 It,18.930173873901367
's,1.735408067703247
 inevitable,12.294085502624512
 .,4.743253231048584
 Their,10.69806957244873
 love,8.015054702758789
 was,3.9030098915100098
built,23.062387466430664
 on,1.5826284885406494
 the,2.940706968307495
 sand,12.468629837036133
" ,",5.947834491729736
 and,2.8138623237609863
 this,6.891544342041016
 is,2.4840617179870605
 why,3.4078688621520996
 their,5.57975435256958
 marriage,4.610348701477051
 has,4.625123023986816
 landed,11.185340881347656
 on,3.919919967651367
 the,1.316819190979004
 rocks,2.8933145999908447
 .,0.9797558784484863
 ,3.0009713172912598
"

",1.266140341758728
 You,12.924941062927246
 said,8.99822998046875
 it,3.872400999069214
 .,5.239785671234131
 Love,10.993165016174316
 but,11.848062515258789
 on,10.332249641418457
 the,1.412596583366394
 sand,8.966508865356445
 will,9.293281555175781
 soon,7.989865303039551
 be,2.2352473735809326
 on,7.335803031921387
 the,1.240952730178833
 rocks,0.10201527178287506
 .,0.46327030658721924
 ,2.06439208984375
"

",1.0463356971740723
 That,10.560609817504883
 give,16.594322204589844
 us,5.455112934112549
 a,2.7832911014556885
 good,4.325974464416504
 lesson,6.990781784057617
 .,2.3023364543914795
 ,2.4221408367156982
